reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2022-10-01 to 2023-09-30",Pulmonology,COUNTY,MI,WAYNE,26,163,"161,060","1,197",29.79,22.14%,"35,662","1,197.00","8,760",24.56%,25.97%,"$6,082,013.19",No,"BLUE 5","Extreme Values (More than 21,462 Beneficiaries)","BLUE 5","Extreme Values (More than 140 Providers)","BLUE 1","Lowest 25% (Less than 37.52 Users)","BLUE 3","Third Lowest 25% (21.79% - 24.61% of Users)","BLUE 5","Extreme Values (More than 5,039 Users)","BLUE 5","Extreme Values (More than 140.49 Providers)","BLUE 5","Extreme Values (More than 585 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.71% - 24.92% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (23.60% - 31.68% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $797,791.52 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"160,583",98,55.76,3.40%,"5,464",98,"1,603",29.34%,4.77%,"$89,059,577.83",No,"BLUE 5","Extreme Values (More than 23,593 Beneficiaries)","BLUE 5","Extreme Values (More than 13 Providers)","BLUE 3","Third Lowest 25% (47.00 - 61.19 Users)","BLUE 3","Third Lowest 25% (2.97% - 3.66% of Users)","BLUE 5","Extreme Values (More than 711 Users)","BLUE 5","Extreme Values (More than 13.49 Providers)","BLUE 5","Extreme Values (More than 184 Dual Eligible Users)","BLUE 3","Third Lowest 25% (24.16% - 31.71% of Total Users)","BLUE 2","Second Lowest 25% (4.62% - 6.07% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $12,099,057.19 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Telemedicine,COUNTY,MI,WAYNE,26,163,"161,060",211,46.61,6.11%,"9,834",211,"3,826",38.91%,11.34%,"$2,395,820.04",No,"BLUE 5","Extreme Values (More than 22,458 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 2","Second Lowest 25% (44.33 - 58.11 Users)","BLUE 4","Top 25% Excl. Extreme Values (3.99% - 6.88% of Users)","BLUE 5","Extreme Values (More than 706 Users)","BLUE 5","Extreme Values (More than 14.99 Providers)","BLUE 5","Extreme Values (More than 221 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.74% - 57.79% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (9.22% - 15.84% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $130,694.30 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"156,313",63,261.38,10.53%,"16,467",63,"5,590",33.95%,17.33%,"$14,855,183.37",No,"BLUE 5","Extreme Values (More than 21,162 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 246.64 Users)","BLUE 3","Third Lowest 25% (10.05% - 11.54% of Users)","BLUE 5","Extreme Values (More than 2,255 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 490 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (27.14% - 44.10% of Total Users)","BLUE 2","Second Lowest 25% (15.63% - 18.63% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,178,303.05 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"156,313",63,220.97,8.91%,"13,921",63,"4,810",34.55%,14.91%,"$10,173,359.98",No,"BLUE 5","Extreme Values (More than 21,491 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (163.25 - 321.61 Users)","BLUE 2","Second Lowest 25% (7.18% - 9.01% of Users)","BLUE 5","Extreme Values (More than 2,072 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 459 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (27.87% - 45.34% of Total Users)","BLUE 2","Second Lowest 25% (14.13% - 17.09% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,619,700.22 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"156,313",63,126.25,5.09%,"7,954",63,"2,721",34.21%,8.43%,"$4,598,320.31",No,"BLUE 5","Extreme Values (More than 23,630 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 82.67 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.57% - 8.30% of Users)","BLUE 5","Extreme Values (More than 778 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 216 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (31.15% - 49.85% of Total Users)","BLUE 3","Third Lowest 25% (7.51% - 9.91% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $573,161.30 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"155,888",14,47.14,0.42%,660,14,87,13.18%,0.27%,"$2,545,568.26",No,"BLUE 5","Extreme Values (More than 32,809 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (34.00 - 54.99 Users)","BLUE 2","Second Lowest 25% (0.42% - 0.59% of Users)","BLUE 5","Extreme Values (More than 177 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 52 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (12.50% - 23.76% of Total Users)","BLUE 2","Second Lowest 25% (0.18% - 0.32% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,187,339.25 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"156,313",151,31.03,3.00%,"4,686",151,433,9.24%,1.34%,"$1,776,502.56",No,"BLUE 5","Extreme Values (More than 21,814 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 1","Lowest 25% (Less than 35.37 Users)","BLUE 2","Second Lowest 25% (2.62% - 4.03% of Users)","BLUE 5","Extreme Values (More than 1,079 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 98 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (9.03% - 16.91% of Total Users)","BLUE 1","Lowest 25% (Less than 1.48% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $289,670.13 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"156,313",158,266.55,26.94%,"42,115",158,"13,083",31.06%,40.55%,"$15,914,225.16",No,"BLUE 5","Extreme Values (More than 20,759 Beneficiaries)","BLUE 5","Extreme Values (More than 56 Providers)","BLUE 5","Extreme Values (More than 259.72 Users)","BLUE 2","Second Lowest 25% (20.17% - 34.94% of Users)","BLUE 5","Extreme Values (More than 7,817 Users)","BLUE 5","Extreme Values (More than 56.99 Providers)","BLUE 5","Extreme Values (More than 1,020 Dual Eligible Users)","BLUE 5","Extreme Values (More than 28.91% of Total Users)","BLUE 3","Third Lowest 25% (39.65% - 51.75% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,222,706.90 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Dialysis,COUNTY,MI,WAYNE,26,163,"155,888",63,32.43,1.31%,"2,043",63,931,45.57%,2.88%,"$47,807,333.83",No,"BLUE 5","Extreme Values (More than 31,482 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (29.00 - 38.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (0.83% - 1.38% of Users)","BLUE 5","Extreme Values (More than 182 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 110 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (43.10% - 66.49% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (2.84% - 4.92% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,379,826.93 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"155,888",30,67.93,1.31%,"2,038",30,"1,309",64.23%,4.04%,"$780,336.74",No,"BLUE 5","Extreme Values (More than 25,617 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 2","Second Lowest 25% (44.00 - 70.09 Users)","BLUE 1","Lowest 25% (Less than 1.32% of Users)","BLUE 5","Extreme Values (More than 1,083 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 407 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (43.90% - 76.31% of Total Users)","BLUE 1","Lowest 25% (Less than 6.00% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $551,643.56 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Home Health",COUNTY,MI,WAYNE,26,163,"155,888",148,90.81,8.62%,"13,440",148,"4,039",30.05%,12.48%,"$65,727,453.52",No,"BLUE 5","Extreme Values (More than 21,617 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 3","Third Lowest 25% (63.00 - 113.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (7.72% - 12.53% of Users)","BLUE 5","Extreme Values (More than 1,417 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 264 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (20.21% - 34.35% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.65% - 17.09% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,766,511.75 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Hospice,COUNTY,MI,WAYNE,26,163,"155,888",44,68.70,1.94%,"3,023",44,554,18.33%,1.71%,"$37,779,771.56",No,"BLUE 5","Extreme Values (More than 22,617 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (44.88 - 68.99 Users)","BLUE 1","Lowest 25% (Less than 2.00% of Users)","BLUE 5","Extreme Values (More than 559 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 116 Dual Eligible Users)","BLUE 3","Third Lowest 25% (16.88% - 22.57% of Total Users)","BLUE 1","Lowest 25% (Less than 2.65% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,940,889.20 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"155,888",83,874.33,46.55%,"72,569",83,"16,461",22.68%,50.86%,"$200,016,366.12",No,"BLUE 5","Extreme Values (More than 20,622 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 581.84 Users)","BLUE 3","Third Lowest 25% (43.78% - 52.04% of Users)","BLUE 5","Extreme Values (More than 10,377 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,238 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.29% - 26.14% of Total Users)","BLUE 3","Third Lowest 25% (45.17% - 52.98% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $29,921,144.74 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"156,313",39,149.77,3.74%,"5,841",39,"1,468",25.13%,4.55%,"$2,100,747.64",No,"BLUE 5","Extreme Values (More than 21,617 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 129.62 Users)","BLUE 1","Lowest 25% (Less than 3.98% of Users)","BLUE 5","Extreme Values (More than 1,293 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 182 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.19% - 26.55% of Total Users)","BLUE 2","Second Lowest 25% (3.89% - 5.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $452,234.16 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"155,888",7,61.29,0.28%,429,7,160,37.30%,0.49%,"$24,126,536.84",No,"BLUE 5","Extreme Values (More than 88,048 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (50.00 - 94.99 Users)","BLUE 3","Third Lowest 25% (0.18% - 0.34% of Users)","BLUE 5","Extreme Values (More than 104 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 72 Dual Eligible Users)","BLUE 3","Third Lowest 25% (31.48% - 42.69% of Total Users)","BLUE 2","Second Lowest 25% (0.30% - 0.57% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,374,181.66 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Neurology,COUNTY,MI,WAYNE,26,163,"156,417",76,41.70,2.03%,"3,169",76,"1,030",32.50%,3.19%,"$622,735.96",No,"BLUE 5","Extreme Values (More than 27,860 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 2","Second Lowest 25% (38.50 - 50.74 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.27% - 2.04% of Users)","BLUE 5","Extreme Values (More than 301 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 103 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (21.80% - 38.46% of Total Users)","BLUE 5","Extreme Values (More than 3.10% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $40,878.61 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"156,313",431,95.65,26.37%,"41,224",431,"7,350",17.83%,22.78%,"$27,435,081.08",No,"BLUE 5","Extreme Values (More than 20,758 Beneficiaries)","BLUE 5","Extreme Values (More than 90 Providers)","BLUE 4","Top 25% Excl. Extreme Values (77.17 - 135.98 Users)","BLUE 1","Lowest 25% (Less than 27.44% of Users)","BLUE 5","Extreme Values (More than 6,726 Users)","BLUE 5","Extreme Values (More than 90.49 Providers)","BLUE 5","Extreme Values (More than 552 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (11.73% - 21.03% of Total Users","BLUE 3","Third Lowest 25% (22.67% - 26.43% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,224,077.07 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"156,313",475,24.30,7.38%,"11,542",475,"2,114",18.32%,6.55%,"$13,849,531.60",No,"BLUE 5","Extreme Values (More than 21,721 Beneficiaries)","BLUE 5","Extreme Values (More than 53 Providers)","BLUE 1","Lowest 25% (Less than 28.76 Users)","BLUE 3","Third Lowest 25% (6.63% - 9.40% of Users)","BLUE 5","Extreme Values (More than 1,832 Users)","BLUE 5","Extreme Values (More than 53.49 Providers)","BLUE 5","Extreme Values (More than 199 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (11.26% - 20.54% of Total Users","BLUE 3","Third Lowest 25% (5.16% - 6.83% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,651,291.44 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"156,313",270,90.70,15.67%,"24,489",270,"6,731",27.49%,20.86%,"$5,795,043.67",No,"BLUE 5","Extreme Values (More than 21,490 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 3","Third Lowest 25% (56.90 - 92.24 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.35% - 18.63% of Users)","BLUE 5","Extreme Values (More than 2,218 Users)","BLUE 5","Extreme Values (More than 27.99 Providers)","BLUE 5","Extreme Values (More than 380 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (22.40% - 38.44% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.56% - 29.07% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $427,252.80 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"156,313","1,879",41.96,50.44%,"78,837","1,879.00","17,739",22.50%,54.98%,"$13,282,963.71",No,"BLUE 5","Extreme Values (More than 20,660 Beneficiaries)","BLUE 5","Extreme Values (More than 237 Providers)","BLUE 2","Second Lowest 25% (35.09 - 43.83 Users)","BLUE 2","Second Lowest 25% (45.06% - 53.22% of Users)","BLUE 5","Extreme Values (More than 11,764 Users)","BLUE 5","Extreme Values (More than 237.49 Providers)","BLUE 5","Extreme Values (More than 1,218 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.51% - 23.43% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (54.79% - 77.76% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,966,490.06 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"156,313",314,33.98,6.83%,"10,670",314,"4,239",39.73%,13.14%,"$7,164,661.31",No,"BLUE 5","Extreme Values (More than 22,652 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 1","Lowest 25% (Less than 36.83 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.36% - 7.17% of Users)","BLUE 5","Extreme Values (More than 924 Users)","BLUE 5","Extreme Values (More than 22.49 Providers)","BLUE 5","Extreme Values (More than 310 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (39.67% - 64.25% of Total Users)","BLUE 3","Third Lowest 25% (10.05% - 13.18% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $493,594.46 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"156,313","1,152",29.83,21.98%,"34,363","1,152.00","8,189",23.83%,25.38%,"$5,815,601.23",No,"BLUE 5","Extreme Values (More than 20,758 Beneficiaries)","BLUE 5","Extreme Values (More than 135 Providers)","BLUE 1","Lowest 25% (Less than 37.62 Users)","BLUE 3","Third Lowest 25% (21.91% - 24.78% of Users)","BLUE 5","Extreme Values (More than 4,893 Users)","BLUE 5","Extreme Values (More than 135.49 Providers)","BLUE 5","Extreme Values (More than 548 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.30% - 24.28% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (23.58% - 31.67% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $770,639.41 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"155,888",96,55.17,3.40%,"5,296",96,"1,526",28.81%,4.72%,"$86,320,049.10",No,"BLUE 5","Extreme Values (More than 22,761 Beneficiaries)","BLUE 5","Extreme Values (More than 13 Providers)","BLUE 3","Third Lowest 25% (46.65 - 60.99 Users)","BLUE 3","Third Lowest 25% (2.92% - 3.57% of Users)","BLUE 5","Extreme Values (More than 682 Users)","BLUE 5","Extreme Values (More than 13.49 Providers)","BLUE 5","Extreme Values (More than 175 Dual Eligible Users)","BLUE 3","Third Lowest 25% (23.53% - 30.92% of Total Users)","BLUE 2","Second Lowest 25% (4.53% - 5.84% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $11,741,732.03 )"," "," "," "," "," "," "," "," "," "," "
"2023-01-01 to 2023-12-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"156,313",172,51.98,5.72%,"8,940",172,"3,388",37.90%,10.50%,"$2,249,536.62",No,"BLUE 5","Extreme Values (More than 21,807 Beneficiaries)","BLUE 5","Extreme Values (More than 12 Providers)","BLUE 2","Second Lowest 25% (44.60 - 58.48 Users)","BLUE 4","Top 25% Excl. Extreme Values (3.83% - 6.72% of Users)","BLUE 5","Extreme Values (More than 655 Users)","BLUE 5","Extreme Values (More than 12.49 Providers)","BLUE 5","Extreme Values (More than 200 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.31% - 57.54% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (8.87% - 15.39% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $122,879.65 )"," "," "," "," "," "," "," "," "," "," "
"2024-01-01 to 2024-12-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"155,745",60,250.15,9.64%,"15,009",60,"4,895",32.61%,16.21%,"$13,823,676.79",No,"BLUE 5","Extreme Values (More than 21,074 Beneficiaries)","BLUE 5","Extreme Values (More than 19 Providers)","BLUE 5","Extreme Values (More than 243.74 Users)","BLUE 3","Third Lowest 25% (9.39% - 10.82% of Users)","BLUE 5","Extreme Values (More than 2,047 Users)","BLUE 5","Extreme Values (More than 19.49 Providers)","BLUE 5","Extreme Values (More than 432 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.27% - 41.55% of Total Users)","BLUE 2","Second Lowest 25% (14.66% - 17.49% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,139,942.23 )"," "," "," "," "," "," "," "," "," "," "
"2024-01-01 to 2024-12-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"155,745",58,221.19,8.24%,"12,829",58,"4,208",32.80%,13.94%,"$9,801,489.54",No,"BLUE 5","Extreme Values (More than 21,415 Beneficiaries)","BLUE 5","Extreme Values (More than 11 Providers)","BLUE 4","Top 25% Excl. Extreme Values (163.00 - 321.99 Users)","BLUE 2","Second Lowest 25% (6.67% - 8.34% of Users)","BLUE 5","Extreme Values (More than 1,862 Users)","BLUE 5","Extreme Values (More than 11.99 Providers)","BLUE 5","Extreme Values (More than 405 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.94% - 42.84% of Total Users)","BLUE 2","Second Lowest 25% (13.33% - 15.99% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,559,401.14 )"," "," "," "," "," "," "," "," "," "," "
